[0;33;48m[colladareader.cpp:2880 ExtractRobotAttachedSensors] [0;38;48m[0;33;48mcannot find instance_sensor for attached sensor pr2:wide_stereo_optical_sensor
[m[0;33;48m[colladareader.cpp:2880 ExtractRobotAttachedSensors] [0;38;48m[0;33;48mcannot find instance_sensor for attached sensor pr2:narrow_stereo_optical_sensor
[m[0;33;48m[kinbody.cpp:1470 SetDOFValues] [0;38;48m[0;33;48mdof 12 value is not in limits 0.000000e+00<1.150000e-02[m
[0;33;48m[kinbody.cpp:1481 SetDOFValues] [0;38;48m[0;33;48mdof 18 value is not in limits 0.000000e+00<-1.500001e-01[m
[0;33;48m[kinbody.cpp:1481 SetDOFValues] [0;38;48m[0;33;48mdof 20 value is not in limits 0.000000e+00<-1.000000e-01[m
[0;33;48m[kinbody.cpp:1481 SetDOFValues] [0;38;48m[0;33;48mdof 30 value is not in limits 0.000000e+00<-1.500001e-01[m
[0;33;48m[kinbody.cpp:1481 SetDOFValues] [0;38;48m[0;33;48mdof 32 value is not in limits 0.000000e+00<-1.000000e-01[m
[0;33;48m[kinbody.cpp:1470 SetDOFValues] [0;38;48m[0;33;48mdof 18 value is not in limits -2.321000e+00<-2.121308e+00[m
[0;33;48m[kinbody.cpp:1470 SetDOFValues] [0;38;48m[0;33;48mdof 30 value is not in limits -2.321000e+00<-2.121308e+00[m
[0;33;48m[kinbody.cpp:1481 SetDOFValues] [0;38;48m[0;33;48mdof 20 value is not in limits 0.000000e+00<-1.000000e-01[m
Bias:  0.31  : Time :  12.0498101711 : Length : 190
Bias:  0.31  : Time :  23.0456039906 : Length : 111
Bias:  0.31  : Time :  5.90289902687 : Length : 109
Bias:  0.31  : Time :  10.2865350246 : Length : 206
Bias:  0.31  : Time :  24.5108921528 : Length : 121
Bias:  0.31  : Time :  13.1037111282 : Length : 149
Bias:  0.31  : Time :  18.6732609272 : Length : 209
Bias:  0.31  : Time :  13.5777668953 : Length : 127
Bias:  0.31  : Time :  15.8962328434 : Length : 204
Bias:  0.31  : Time :  10.6257071495 : Length : 134
Bias:  0.36  : Time :  11.4816119671 : Length : 154
Bias:  0.36  : Time :  22.5475218296 : Length : 248
Bias:  0.36  : Time :  11.9458999634 : Length : 167
Bias:  0.36  : Time :  9.35888695717 : Length : 124
Bias:  0.36  : Time :  18.7744870186 : Length : 127
Bias:  0.36  : Time :  8.57840204239 : Length : 171
Bias:  0.36  : Time :  11.5167150497 : Length : 187
Bias:  0.36  : Time :  19.185489893 : Length : 131
Bias:  0.36  : Time :  11.8978319168 : Length : 115
Bias:  0.36  : Time :  15.5363328457 : Length : 116
Bias:  0.41  : Time :  11.0781059265 : Length : 123
Bias:  0.41  : Time :  9.42473697662 : Length : 227
Bias:  0.41  : Time :  12.0828771591 : Length : 215
Bias:  0.41  : Time :  12.4988729954 : Length : 222
Bias:  0.41  : Time :  7.75650882721 : Length : 148
Bias:  0.41  : Time :  10.6095359325 : Length : 112
Bias:  0.41  : Time :  10.7169458866 : Length : 211
Bias:  0.41  : Time :  17.9507141113 : Length : 172
Bias:  0.41  : Time :  7.4217748642 : Length : 155
Bias:  0.41  : Time :  9.34863901138 : Length : 189
Bias:  0.46  : Time :  17.4165160656 : Length : 134
Bias:  0.46  : Time :  9.73482203484 : Length : 120
Bias:  0.46  : Time :  10.2782731056 : Length : 118
Bias:  0.46  : Time :  24.9661440849 : Length : 217
Bias:  0.46  : Time :  12.8328709602 : Length : 187
Bias:  0.46  : Time :  11.275395155 : Length : 143
Bias:  0.46  : Time :  14.2679071426 : Length : 122
Bias:  0.46  : Time :  6.64243602753 : Length : 110
Bias:  0.46  : Time :  21.378237009 : Length : 221
Bias:  0.46  : Time :  26.729612112 : Length : 228
Bias:  0.51  : Time :  23.4953529835 : Length : 186
Bias:  0.51  : Time :  11.1738059521 : Length : 227
Bias:  0.51  : Time :  10.0975868702 : Length : 124
Bias:  0.51  : Time :  5.97602891922 : Length : 104
Bias:  0.51  : Time :  6.33117079735 : Length : 116
Bias:  0.51  : Time :  33.6620988846 : Length : 127
Bias:  0.51  : Time :  11.9841988087 : Length : 138
Bias:  0.51  : Time :  7.64750289917 : Length : 175
Bias:  0.51  : Time :  7.4204480648 : Length : 146
Bias:  0.51  : Time :  26.7771980762 : Length : 191
Bias:  0.56  : Time :  8.84890198708 : Length : 175
Bias:  0.56  : Time :  9.75446200371 : Length : 145
Bias:  0.56  : Time :  9.00074195862 : Length : 152
Bias:  0.56  : Time :  6.94233584404 : Length : 112
Bias:  0.56  : Time :  34.3109080791 : Length : 194
Bias:  0.56  : Time :  3.44821000099 : Length : 114
Bias:  0.56  : Time :  5.07700991631 : Length : 187
Bias:  0.56  : Time :  14.9856381416 : Length : 169
Bias:  0.56  : Time :  7.24201607704 : Length : 116
Bias:  0.56  : Time :  6.3611330986 : Length : 192
Bias:  0.61  : Time :  8.49434399605 : Length : 152
Bias:  0.61  : Time :  43.3178110123 : Length : 204
Bias:  0.61  : Time :  47.4037690163 : Length : 248
Bias:  0.61  : Time :  9.22961592674 : Length : 127
Bias:  0.61  : Time :  4.20059013367 : Length : 109
Bias:  0.61  : Time :  16.7110071182 : Length : 132
Bias:  0.61  : Time :  12.2396059036 : Length : 172
Bias:  0.61  : Time :  19.7444121838 : Length : 119
Bias:  0.61  : Time :  15.199311018 : Length : 241
Bias:  0.61  : Time :  11.9237170219 : Length : 169
Bias:  0.66  : Time :  47.5160970688 : Length : 165
Bias:  0.66  : Time :  22.9430749416 : Length : 149
Bias:  0.66  : Time :  18.8654611111 : Length : 198
Bias:  0.66  : Time :  19.2039070129 : Length : 219
Bias:  0.66  : Time :  42.2268249989 : Length : 224
Bias:  0.66  : Time :  18.2145991325 : Length : 193
Bias:  0.66  : Time :  14.5447309017 : Length : 224
Bias:  0.66  : Time :  11.5376670361 : Length : 184
Bias:  0.66  : Time :  14.3894090652 : Length : 129
Bias:  0.66  : Time :  14.9368979931 : Length : 189
Bias:  0.71  : Time :  33.0469338894 : Length : 161
Bias:  0.71  : Time :  27.4406909943 : Length : 151
Bias:  0.71  : Time :  11.7555019855 : Length : 163
Bias:  0.71  : Time :  23.1820480824 : Length : 187
Bias:  0.71  : Time :  5.62470412254 : Length : 120
Bias:  0.71  : Time :  27.4585421085 : Length : 205
Bias:  0.71  : Time :  22.1470851898 : Length : 179
Bias:  0.71  : Time :  29.5676300526 : Length : 242
Bias:  0.71  : Time :  28.8195641041 : Length : 115
Bias:  0.71  : Time :  17.6585390568 : Length : 206
Bias:  0.76  : Time :  24.0317730904 : Length : 187
Bias:  0.76  : Time :  13.3845610619 : Length : 187
Bias:  0.76  : Time :  21.2851228714 : Length : 217
Bias:  0.76  : Time :  60.9491050243 : Length : 224
Bias:  0.76  : Time :  14.9456481934 : Length : 119
Bias:  0.76  : Time :  11.7452390194 : Length : 117
Bias:  0.76  : Time :  34.0899307728 : Length : 143
Bias:  0.76  : Time :  12.9465250969 : Length : 121
Bias:  0.76  : Time :  21.7146849632 : Length : 203
Bias:  0.76  : Time :  27.1407771111 : Length : 203
Bias:  0.81  : Time :  22.4950959682 : Length : 131
Bias:  0.81  : Time :  19.8528308868 : Length : 132
Bias:  0.81  : Time :  21.797013998 : Length : 164
Bias:  0.81  : Time :  24.3239238262 : Length : 179
Bias:  0.81  : Time :  34.7881100178 : Length : 223
Bias:  0.81  : Time :  17.3733699322 : Length : 203
Bias:  0.81  : Time :  39.8219778538 : Length : 127
Bias:  0.81  : Time :  23.9346561432 : Length : 183
Bias:  0.81  : Time :  21.613781929 : Length : 203
Bias:  0.81  : Time :  14.8015739918 : Length : 113
Bias:  0.86  : Time :  41.3748879433 : Length : 123
Bias:  0.86  : Time :  14.4668190479 : Length : 103
Bias:  0.86  : Time :  34.7531621456 : Length : 96
Bias:  0.86  : Time :  25.8042180538 : Length : 175
Bias:  0.86  : Time :  16.6213078499 : Length : 145
Bias:  0.86  : Time :  38.3588008881 : Length : 134
Bias:  0.86  : Time :  27.6730928421 : Length : 164
Bias:  0.86  : Time :  36.7174971104 : Length : 223
Bias:  0.86  : Time :  33.0671570301 : Length : 147
Bias:  0.86  : Time :  44.870871067 : Length : 216
Bias:  0.91  : Time :  33.0247380733 : Length : 166
Bias:  0.91  : Time :  30.3403959274 : Length : 130
Bias:  0.91  : Time :  22.722025156 : Length : 182
Bias:  0.91  : Time :  65.0729880333 : Length : 194
Bias:  0.91  : Time :  100.635425091 : Length : 111
Bias:  0.91  : Time :  32.4589989185 : Length : 168
Bias:  0.91  : Time :  58.5958929062 : Length : 195
Bias:  0.91  : Time :  59.0887057781 : Length : 129
Bias:  0.91  : Time :  39.6484150887 : Length : 184
Bias:  0.91  : Time :  47.0558109283 : Length : 171
Bias:  0.96  : Time :  27.884264946 : Length : 224
Bias:  0.96  : Time :  49.7033901215 : Length : 119
Bias:  0.96  : Time :  54.7415101528 : Length : 119
Bias:  0.96  : Time :  66.4706220627 : Length : 163
Bias:  0.96  : Time :  81.9519901276 : Length : 128
Bias:  0.96  : Time :  59.0472807884 : Length : 197
Bias:  0.96  : Time :  56.2196941376 : Length : 142
Bias:  0.96  : Time :  169.076634884 : Length : 169
Bias:  0.96  : Time :  132.866796017 : Length : 147
Bias:  0.96  : Time :  38.7555258274 : Length : 138
enter 1 to replay[0;33;48m[idealcontroller.cpp:519 _ReportError] [0;38;48m[0;33;48mrobot PR2 dof 15 is violating max velocity displacement 5.990000000000000e-01 > 2.088100000000000e-02, time=0.010000[m
[0;33;48m[idealcontroller.cpp:519 _ReportError] [0;38;48m[0;33;48mrobot PR2 dof 16 is violating max velocity displacement 2.760000000000000e-01 > 2.082100000000000e-02, time=0.010000[m
[0;33;48m[idealcontroller.cpp:519 _ReportError] [0;38;48m[0;33;48mrobot PR2 dof 18 is violating max velocity displacement 8.579999463653749e-01 > 3.300099999999999e-02, time=0.010000[m
0
Press enter to exit...[0;33;48m[qtcoinrave.cpp:80 DestroyPlugin] [0;38;48m[0;33;48mSoQt releasing all memory
[0;38;48mCoin debug: socontexthandler_cleanup(): 336 context-bound resources not free'd before exit.
